1,-1,45.0,184.0,62.2,141.2,50.514000
2,-1,45.0,193.0,62.2,141.2,43.676998
2,-1,217.0,219.0,28.3,64.3,19.436001
2,-1,252.0,176.0,56.9,129.1,13.865000
3,-1,36.0,193.0,62.2,141.2,44.472000
3,-1,219.0,225.0,26.0,59.0,34.223000
3,-1,246.0,164.0,62.2,141.2,10.329000
4,-1,29.0,179.0,68.0,154.4,38.144001
4,-1,219.0,229.0,26.0,59.0,17.080999
4,-1,160.0,193.0,47.9,108.7,16.497999
4,-1,246.0,164.0,62.2,141.2,14.129000
4,-1,286.0,185.0,52.0,118.0,9.921800
5,-1,18.0,179.0,68.0,154.4,39.122002
5,-1,219.0,225.0,26.0,59.0,37.332001
5,-1,252.0,176.0,56.9,129.1,14.141000
5,-1,160.0,193.0,47.9,108.7,11.596000
5,-1,286.0,193.0,52.0,118.0,3.895900
6,-1,215.0,225.0,26.0,59.0,37.234001
6,-1,17.0,184.0,62.2,141.2,36.779999
6,-1,294.0,193.0,52.0,118.0,32.777000
6,-1,252.0,184.0,56.9,129.1,10.283000
7,-1,8.0,189.0,68.0,154.4,30.040001
7,-1,217.0,223.0,28.3,64.3,29.441999
7,-1,252.0,184.0,56.9,129.1,15.351000
7,-1,300.0,200.0,47.9,108.7,10.420000
7,-1,373.0,210.0,30.8,70.0,0.804960
8,-1,212.0,223.0,28.3,64.3,38.251999
8,-1,294.0,193.0,52.0,118.0,28.794001
8,-1,252.0,184.0,56.9,129.1,25.927999
8,-1,-3.0,173.0,74.3,168.6,17.792000
8,-1,150.0,193.0,52.0,118.0,9.022200
9,-1,211.0,225.0,26.0,59.0,30.948999
9,-1,307.0,253.0,26.0,59.0,11.615000
9,-1,262.0,193.0,52.0,118.0,4.372800
10,-1,208.0,223.0,28.3,64.3,36.124001
10,-1,261.0,176.0,56.9,129.1,3.407000
10,-1,307.0,253.0,26.0,59.0,2.788200
10,-1,146.0,222.0,40.0,90.8,1.930500
11,-1,207.0,219.0,30.8,70.0,43.755001
11,-1,262.0,185.0,52.0,118.0,12.383000
12,-1,203.0,224.0,30.8,70.0,25.540001
12,-1,307.0,200.0,47.9,108.7,12.601000
12,-1,373.0,219.0,28.3,64.3,7.420400
12,-1,270.0,193.0,52.0,118.0,6.250300
13,-1,200.0,217.0,33.5,76.1,25.752001
13,-1,307.0,200.0,47.9,108.7,2.785100
14,-1,199.0,233.0,26.0,59.0,11.892000
14,-1,113.0,179.0,68.0,154.4,8.144500
14,-1,270.0,176.0,56.9,129.1,5.335300
14,-1,383.0,53.0,26.0,59.0,5.215900
15,-1,203.0,233.0,26.0,59.0,42.126999
15,-1,307.0,200.0,47.9,108.7,7.390700
16,-1,199.0,227.0,28.3,64.3,26.232000
16,-1,270.0,193.0,52.0,118.0,17.433001
16,-1,378.0,39.0,30.8,70.0,9.353200
16,-1,307.0,200.0,47.9,108.7,7.741100
17,-1,199.0,237.0,26.0,59.0,37.173000
17,-1,102.0,179.0,68.0,154.4,13.780000
17,-1,383.0,49.0,26.0,59.0,6.705200
17,-1,373.0,219.0,28.3,64.3,5.453500
17,-1,308.0,204.0,43.9,99.5,4.420500
17,-1,270.0,185.0,52.0,118.0,3.647300
18,-1,195.0,237.0,26.0,59.0,24.851000
18,-1,369.0,214.0,28.3,64.3,5.767100
19,-1,190.0,232.0,28.3,64.3,29.229000
19,-1,373.0,210.0,30.8,70.0,3.174000
20,-1,185.0,223.0,33.5,76.1,25.702000
20,-1,66.0,173.0,74.3,168.6,8.523400
20,-1,373.0,214.0,28.3,64.3,8.089900
20,-1,383.0,41.0,26.0,59.0,5.511000
21,-1,186.0,232.0,28.3,64.3,41.519001
21,-1,84.0,255.0,36.8,83.4,21.771999
